GEO UID,Census Tract name,Total Education,No certificate,High (secondary) school,Postsecondary Education
5350410.10,410.10,1660,65,210,1385
5350410.11,410.11,1640,70,280,1290
5350410.12,410.12,3360,125,590,2640
5350410.13,410.13,3470,115,525,2825
5350410.14,410.14,3090,70,415,2605
5350410.15,410.15,940,55,215,665
5350411.01,411.01,2905,230,595,2080
5350411.04,411.04,2825,180,715,1930
5350411.07,411.07,2505,165,560,1780
5350411.08,411.08,4795,280,795,3710
5350411.09,411.09,3485,165,700,2620
5350411.12,411.12,3015,225,870,1925
5350411.15,411.15,2285,225,550,1510
5350411.16,411.16,3985,195,850,2940
5350411.17,411.17,5575,180,725,4665
5350411.18,411.18,6175,230,795,5155
5350411.19,411.19,5415,120,675,4625
5350411.21,411.21,1530,165,385,975
5350411.22,411.22,2875,255,710,1905
5350411.23,411.23,2580,225,505,1855
5350411.24,411.24,3920,620,1015,2290
5350411.25,411.25,1925,310,420,1195
5350411.26,411.26,2920,265,665,1990
5350411.27,411.27,2235,130,535,1565
5350411.28,411.28,2700,70,280,2350
5350411.29,411.29,3115,95,365,2655
5350411.30,411.30,3850,125,510,3215
5350412.01,412.01,3730,290,845,2595
5350412.02,412.02,5400,600,1365,3440
5350412.04,412.04,2205,210,570,1430
5350412.06,412.06,1620,170,435,1015
5350412.08,412.08,1140,115,300,725
5350412.10,412.10,2880,290,920,1675
5350412.11,412.11,2345,170,650,1535
5350412.12,412.12,2150,190,480,1475
5350412.13,412.13,2790,215,675,1900
5350412.14,412.14,1850,65,355,1425
5350412.15,412.15,2830,110,655,2065
5350412.18,412.18,3565,195,785,2590
5350412.19,412.19,4950,400,1135,3410
5350412.20,412.20,3020,300,835,1885
5350412.22,412.22,4740,495,955,3290
5350412.24,412.24,4940,585,1090,3260
