Name,"Census Tract ID","Households by Income (Current Year) | Median Household Income (Current Year $), 2025"
"CT0355.05, Toronto, ON",5350355.05,69553.4
"CT0355.06, Toronto, ON",5350355.06,66591.07
"CT0356.00, Toronto, ON",5350356.00,98270.49
"CT0357.01, Toronto, ON",5350357.01,56746.59
"CT0357.02, Toronto, ON",5350357.02,55292.42
"CT0358.01, Toronto, ON",5350358.01,91730.09
"CT0358.02, Toronto, ON",5350358.02,65227.91
"CT0358.03, Toronto, ON",5350358.03,38108.52
"CT0359.00, Toronto, ON",5350359.00,70779.97
"CT0360.00, Toronto, ON",5350360.00,128111.92
"CT0361.01, Toronto, ON",5350361.01,161406.07
"CT0361.02, Toronto, ON",5350361.02,141053.73
"CT0362.01, Toronto, ON",5350362.01,101890.88
"CT0362.02, Toronto, ON",5350362.02,118277.31
